#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_25	2903347	61	N	N	1	*	*,25,119,121
contig_260	1131980	66	N	N	1	*	266,260
contig_28	748647	75	N	N	1	*	2594,28,-121
contig_309	620212	148	N	N	4	*	309,398
contig_13	547035	149	N	N	4	*	-121,-119,13,802
contig_285	517622	202	N	N	6	*	121,285,2594
contig_2	495916	183	N	N	4	*	2594,2,2385
contig_351	410335	119	N	N	3	*	2468,351
contig_261	368201	69	N	N	1	*	-266,261
contig_15	368104	170	N	N	4	*	-406,15,-411,-406
contig_61	351841	90	N	N	3	*	121,61,-1457
contig_737	294791	192	N	N	4	*	-121,-119,737
contig_26	285822	68	N	N	1	*	*,26,119,121
contig_22	263965	111	N	N	3	*	2517,22,406
contig_462	212507	167	N	N	4	*	462
contig_124	208198	89	N	N	3	*	-121,-119,124,2594
contig_397	205805	119	N	N	3	*	397
contig_2456	203412	132	N	N	3	*	2456
contig_123	149433	92	N	N	2	*	-121,-119,123,-121
contig_10	143446	108	N	N	3	*	-406,10,-411,-406
contig_510	141603	70	N	N	1	*	*,510,-265,-266
contig_4	130847	216	Y	N	6	*	4
contig_2478	120112	118	Y	N	3	*	2478
contig_21	119538	47	Y	N	1	*	21
contig_2443	111308	70	N	N	1	*	266,2443,-269,266
contig_1032	105163	133	N	N	3	*	802,1032
contig_2415	94955	215	N	N	6	*	-121,-119,2415,-121
contig_542	93574	35	N	N	1	*	*,542,*
contig_2460	86771	41	N	N	2	*	*,2460,*
contig_2416	85952	91	N	N	2	*	-121,-119,-120,2416,-121
contig_128	76955	203	N	N	6	*	121,128,-802
contig_348	76306	34	N	N	2	*	*,348,*
contig_122	71792	201	N	N	6	*	-121,-119,122
contig_2423	68295	36	N	N	2	*	*,2423,*
contig_27	66297	90	Y	N	3	*	27
contig_2404	62872	42	N	N	2	*	78,2403,2404,*
contig_2480	62234	39	N	N	2	*	*,2480,*
contig_2557	58890	160	Y	N	3	*	2557
contig_216	58141	37	N	N	2	*	*,216,*
contig_74	58054	39	N	N	2	*	*,74,*
contig_1241	57470	34	N	N	2	*	*,1241,*
contig_2390	57352	38	N	N	2	*	*,2390,*
contig_271	57223	72	N	N	1	*	266,265,271,-269,266
contig_2530	56922	36	N	N	2	*	*,2530,*
contig_2470	56893	39	N	N	2	*	*,2470,*
contig_268	55674	69	N	N	1	*	-266,-264,268,-266
contig_2121	55538	35	N	N	2	*	*,2121,*
contig_1028	54652	37	N	N	2	*	*,1028,*
contig_2630	53953	120	Y	N	3	*	2630
contig_526	53224	39	N	N	1	*	*,526,2482,*
contig_2437	52026	32	N	N	2	*	*,2437,*
contig_2607	52009	40	N	N	2	*	*,2607,*
contig_2618	51858	32	N	N	2	*	*,2618,*
contig_6	49342	31	N	N	1	*	*,6
contig_2461	47979	36	N	N	2	*	*,2461,*
contig_2447	47938	33	N	N	2	*	*,2447,*
