#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_2	1563460	57	N	N	1	*	-890,2,958
contig_275	1502077	74	N	N	1	*	-356,-355,275
contig_114	1359200	71	N	N	1	*	*,114,116,914
contig_115	1295901	74	N	N	1	*	*,115,116,116,914
contig_168	1032652	116	N	N	1	*	356,168,979
contig_3	924607	66	N	N	1	*	890,3,958
contig_1	844506	99	N	N	1	*	958,1,-890
contig_290	841846	63	N	N	1	*	-350,290,*
contig_5	659216	78	N	N	1	*	5,958
contig_475	644627	111	N	N	1	*	475,-979
contig_14	587190	85	N	N	1	*	14,*
contig_6	574521	84	N	N	1	*	6,890
contig_90	572852	444	N	N	6	*	-206,-181,189,-178,90,-928,190
contig_199	533917	467	N	N	6	*	928,-201,928,-200,928,199,-89
contig_349	508190	149	N	N	1	*	-356,-354,349,-356
contig_292	362483	146	N	N	1	*	292,353,354,356
contig_191	349298	394	N	N	6	*	179,210,191,-210,209
contig_12	347806	76	N	N	1	*	-892,12,*
contig_186	317306	546	N	N	8	*	186,-928,187
contig_891	316500	60	N	N	1	*	*,891
contig_180	316192	543	N	N	9	*	927,928,180,-89
contig_13	310560	88	N	N	1	*	13,-892
contig_348	286104	90	N	N	1	*	356,348,355,356
contig_58	284545	82	N	N	2	*	*,58,*
contig_92	264740	522	N	N	8	*	-89,92
contig_11	255253	54	N	N	1	*	-892,11,350
contig_120	236900	107	N	N	1	*	120
contig_357	236574	83	N	N	1	*	-356,-355,357,-356
contig_566	221148	60	N	N	1	*	892,566,*
contig_351	219654	166	N	N	1	*	350,351,353,354,356
contig_900	203109	70	N	N	2	*	*,900,*
contig_183	202360	541	N	N	9	*	182,183,-89
contig_133	200092	69	N	N	2	*	41,46,133,*
contig_208	198939	519	N	N	7	*	208,-89
contig_316	187005	66	N	N	1	*	*,316,*
contig_287	180037	97	N	N	1	*	-356,-355,287,-356
contig_194	172905	531	N	N	9	*	194,178,927
contig_196	167014	396	N	N	7	*	209,196
contig_205	145868	516	N	N	9	*	203,928,205
contig_920	137662	64	N	N	2	*	*,920,*
contig_909	126367	64	N	N	2	*	*,909,*
contig_925	123754	60	N	N	2	*	*,925,*
contig_265	112581	52	N	N	2	*	*,265,*
contig_163	112178	49	N	N	1	*	*,163,*
contig_903	105932	57	N	N	2	*	*,903,*
contig_983	100709	52	N	N	2	*	*,983,*
contig_162	98976	53	N	N	1	*	*,161,162,*
contig_291	94709	75	N	N	1	*	356,291
contig_358	92745	138	N	N	1	*	-356,-354,358,-356
contig_108	90738	634	Y	N	10	*	108
contig_937	89345	47	N	N	2	*	*,937,*
contig_117	88490	100	N	N	1	*	117,116,914,116
contig_947	84521	57	N	N	2	*	*,947,*
contig_967	82735	47	N	N	2	*	*,967,*
contig_184	80306	566	N	N	10	*	184,185
contig_974	79665	56	N	N	2	*	*,974,*
contig_686	77237	63	N	N	2	*	*,686,*
contig_204	75113	399	N	N	6	*	179,204,-209
contig_993	74323	54	N	N	2	*	*,993,*
contig_938	74283	58	N	N	2	*	*,938,*
contig_192	73251	525	N	N	9	*	89,192,-928,193
contig_217	71589	64	N	N	2	*	*,217,*
contig_525	71320	40	N	N	1	*	*,525,*
contig_63	70606	79	N	N	2	*	-40,-40,-40,-44,-45,63,*
contig_982	69728	50	N	N	2	*	*,982,*
contig_975	66545	52	N	N	2	*	*,975,*
contig_124	65377	54	N	N	2	*	*,124,*
contig_921	64256	38	N	N	1	*	*,161,921,*
contig_918	63847	44	N	N	1	*	*,918,*
contig_248	63664	39	N	N	1	*	*,248,*
contig_279	61532	48	N	N	1	*	892,279,*
contig_280	61298	88	N	N	1	*	892,280,-892
contig_930	59211	48	N	N	2	*	*,930,*
contig_529	58276	18	N	N	1	*	*,529,*
contig_634	57269	21	N	N	1	*	*,634,*
contig_650	55684	51	N	N	2	*	*,650,*
contig_946	55279	52	N	N	2	*	*,946,*
contig_902	55197	62	N	N	2	*	-43,-40,-40,-40,-40,-44,-45,902,*
contig_105	54780	158	N	N	2	*	-8,105,-8
contig_9	54749	88	N	N	1	*	8,9,8
contig_773	54151	53	N	N	2	*	*,773,*
contig_994	53113	38	N	N	2	*	*,994,*
